,site,garden,treatment,unified_names,leaf_weight,stem_weight,wet_leafg,dry_leafg,tot_bio,type,no_stems,sla,area,area.lost,stem_weight_dots,leaf_weight_dots,num_stem_weight,num_leaf_weight,sla.w,sla.d,sla.w.m2kg1,sla.d.m2kg1,perc.herb,water.cont
851,numba,g3,p,casuarina_sp1,9E-05,0,0.05,1.87,9.00000E-05,NA,1,NA,4.903,-1.393,0,9E-05,0,9E-05,98.06,2.62192513368984,9.806,0.262192513368984,0.221251588310038,-1.82
1092,numba,g4,h,parsonsia_sp1,6E-05,5E-05,0.01,0,0.00011,NA,1,NA,5.796,0,5E-05,6E-05,5E-05,6E-05,579.6,Inf,57.96,Inf,0,0.01
945,numba,g4,ch,curculigo_recurvata,0.0001,0.0001,5.26,0.73,0.0002,NA,1,NA,8.955,0,0.0001,0.0001,0.0001,0.0001,1.70247148288973,12.2671232876712,0.170247148288973,1.22671232876712,0,4.53
880,numba,g3,p,parsonsia_sp2,0.00021,0,0.16,1.93,0.00021,NA,1,NA,5.724,-0.008999999999999,0,0.00021,0,0.00021,35.775,2.96580310880829,3.5775,0.296580310880829,0.001569858712716,-1.77
908,numba,g4,c,ficus_hahliana,0.00012,0.0001,0.08,0.03,0.00022,NA,1,NA,9.757,0,0.0001,0.00012,0.0001,0.00012,121.9625,325.233333333333,12.19625,32.5233333333333,0,0.05
474,numba,g2,h,ficus_morobensis,0.00016,7E-05,0.14,0.03,0.00023,NA,1,NA,12.499,0,7E-05,0.00016,7E-05,0.00016,89.2785714285714,416.633333333333,8.92785714285714,41.6633333333333,0,0.11
1159,numba,g4,i,psidium_guajava,0.0002,3E-05,0.2,0.08,0.00023,NA,1,NA,14.829,-0.654999999999999,3E-05,0.0002,3E-05,0.0002,74.145,185.3625,7.4145,18.53625,0.04230173081891,0.12
469,numba,g2,h,curculigo_recurvata,0.00012,0.00012,0.06,0.03,0.00024,NA,1,NA,5.398,-0.721,0.00012,0.00012,0.00012,0.00012,89.9666666666667,179.933333333333,8.99666666666667,17.9933333333333,0.117829710737049,0.03
900,numba,g4,c,elatostema_integrifolium,0.00015,9E-05,0.12,0.05,0.00024,NA,1,NA,12.018,-0.210999999999999,9E-05,0.00015,9E-05,0.00015,100.15,240.36,10.015,24.036,0.017254068198544,0.07
979,numba,g4,ch,parsonsia_sp2,0.00015,0.0001,0.1,0.09,0.00025,NA,1,NA,26.041,-4.048,0.0001,0.00015,0.0001,0.00015,260.41,289.344444444444,26.041,28.9344444444444,0.134534215161687,0.01
475,numba,g2,h,ficus_trachypison,0.00013,0.00013,0.05,0,0.00026,NA,1,NA,2.278,0,0.00013,0.00013,0.00013,0.00013,45.56,Inf,4.556,Inf,0,0.05
307,numba,g2,c,ficus_variegata,0.00014,0.00015,0.09,0.09,0.00029,NA,1,NA,14.174,0,0.00015,0.00014,0.00015,0.00014,157.488888888889,157.488888888889,15.7488888888889,15.7488888888889,0,0
930,numba,g4,c,pipturus_argenteus,0.0001,0.00019,0.06,0.04,0.00029,NA,1,NA,6.893,0,0.00019,0.0001,0.00019,0.0001,114.883333333333,172.325,11.4883333333333,17.2325,0,0.02
1252,numba,g5,c,parsonsia_sp2,0.00014,0.00015,0.12,0.2,0.00029,NA,1,NA,8.578,-0.004000000000001,0.00015,0.00014,0.00015,0.00014,71.4833333333333,42.89,7.14833333333333,4.289,0.000466091820089,-0.08
1373,numba,g5,h,elatostema_sp1,0.00022,7E-05,0.21,0.12,0.00029,NA,1,NA,17.262,-0.535,7E-05,0.00022,7E-05,0.00022,82.2,143.85,8.22,14.385,0.030061246277463,0.09
1117,numba,g4,i,dendrocnide_cordata,0.00012,0.00018,0.12,0.04,0.0003,NA,1,NA,14.635,-0.470000000000001,0.00018,0.00012,0.00018,0.00012,121.958333333333,365.875,12.1958333333333,36.5875,0.031115524660708,0.08
774,numba,g3,h,curculigo_recurvata,0.00018,0.00017,0.06,0.04,0.00035,NA,1,NA,10.013,0,0.00017,0.00018,0.00017,0.00018,166.883333333333,250.325,16.6883333333333,25.0325,0,0.02
1376,numba,g5,h,ficus_copiosa,0.00021,0.00014,0.69,0.41,0.00035,NA,1,NA,27.433,0,0.00014,0.00021,0.00014,0.00021,39.7579710144928,66.909756097561,3.97579710144928,6.6909756097561,0,0.28
304,numba,g2,c,ficus_arfakensis,0.00017,0.00019,0.14,0.03,0.00036,NA,1,NA,16.997,-0.001999999999999,0.00019,0.00017,0.00019,0.00017,121.407142857143,566.566666666667,12.1407142857143,56.6566666666667,0.000117653979646,0.11
329,numba,g2,c,orchidaceae_sp1,0.00018,0.00019,0.18,0.03,0.00037,NA,1,NA,13.59,0,0.00019,0.00018,0.00019,0.00018,75.5,453,7.55,45.3,0,0.15
727,numba,g3,ch,selaginella_velutina,0.00018,0.00019,0.14,0.03,0.00037,NA,1,NA,22.775,-2.693,0.00019,0.00018,0.00019,0.00018,162.678571428571,759.166666666667,16.2678571428571,75.9166666666667,0.105740537144652,0.11
636,numba,g3,c,acrostochium_sp1,0.00023,0.00015,0.29,0,0.00038,NA,1,NA,26.579,-1.222,0.00015,0.00023,0.00015,0.00023,91.651724137931,Inf,9.1651724137931,Inf,0.043955253408151,0.29
685,numba,g3,c,uncaria_lanosa,0.00023,0.00016,0.22,0.05,0.00039,NA,1,NA,23.998,-2.596,0.00016,0.00023,0.00016,0.00023,109.081818181818,479.96,10.9081818181818,47.996,0.097616003609837,0.17
882,numba,g3,p,passiflora_sp3,0.00039,0,2.21,1.84,0.00039,NA,1,NA,41.981,-0.350000000000001,0,0.00039,0,0.00039,18.99592760181,22.8157608695652,1.899592760181,2.28157608695652,0.008268172261463,0.37
