species,genus,family,note,
Alphitonia incana,Alphitonia,Rhamnaceae,,
Alstonia brassii,Alstonia,Apocynaceae,,
Alstonia scholaris,Alstonia,Apocynaceae,,
Artocarpus camansi,Artocarpus,Moraceae,,
Artocarpus lacucha,Artocarpus,Moraceae,,
Bhesa robusta,Bhesa,Centroplacaceae,,
Breynia cernua,Breynia,Phyllanthaceae,,
Bridelia macrocarpa,Bridelia,Phyllanthaceae,,
Caesalpinia crista,Caesalpinia,Fabaceae,remove,
Callicarpa pentandra,Callicarpa,Lamiaceae,,
Campnosperma brevipetiolata,Campnosperma,Anacardiaceae,,
Canarium acutifolium,Canarium,Burseraceae,,
Carica papaya,Carica,Caricaceae,remove,
Chisocheton ceramicus,Chisocheton,Meliaceae,,
Chromolaena odorata,Chromolaena,Asteraceae,remove,
Cleistanthus myrianthus,Cleistanthus,Phyllanthaceae,,
Clerodendrum inerme,Clerodendrum,Lamiaceae,,
Commersonia bartramia,Commersonia,Malvaceae,,
Cordyline terminalis,Cordyline,Asparagaceae,,
Cryptocarya canaliculata,Cryptocarya,Lauraceae,,
Cryptocarya multipaniculata,Cryptocarya,Lauraceae,,
Cryptocarya novoguineensis,Cryptocarya,Lauraceae,,
Cyathea contaminans,Cyathea,Cyatheaceae,remove,
Cypholophus friesianus,Cypholophus,Urticaceae,,
Cypholophus lutescens,Cypholophus,Urticaceae,,
Cypholophus macrocephalus,Cypholophus,Urticaceae,,
Cyphomandra betacea,Cyphomandra,Solanaceae,,
Cyrtandra erectiloba,Cyrtandra,Gesneriaceae,,
Debregeasia longifolia,Debregeasia,Urticaceae,,
Dendrocnide cordata,Dendrocnide,Urticaceae,,
Dendrocnide longifolia,Dendrocnide,Urticaceae,,
Desmodium tenax,Desmodium,Fabaceae,,
Dichapetalum papuanum,Dichapetalum,Dichapetalaceae,remove,
Dracontomelon lenticulatum,Dracontomelon,Anacardiaceae,,
Dubouzetia novoguineensis,Dubouzetia,Elaeocarpaceae,,
Dysoxylum archboldianum,Dysoxylum,Meliaceae,,
Elaeocarpus dolichostylus,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus murukkai,Elaeocarpus,Elaeocarpaceae,,
Elaeocarpus sphaerocarpus,Elaeocarpus,Elaeocarpaceae,,
Elatostema integrifolium,Elatostema,Urticaceae,,
Embelia cotinoides,Embelia,Primulaceae,remove,
Endiandra brassii,Endiandra,Lauraceae,,
Endospermum labios,Endospermum,Euphorbiaceae,,
Etlingera labellosa,Etlingera,Zingiberaceae,remove,
Eugenia javanica,Eugenia,Myrtaceae,,
Falcataria moluccana,Falcataria,Fabaceae,,
Ficus adelpha,Ficus,Moraceae,,
Ficus adenosperma,Ficus,Moraceae,,
Ficus arfakensis,Ficus,Moraceae,,
Ficus aurantiacifolia,Ficus,Moraceae,,
Ficus badiopurpurea,Ficus,Moraceae,,
Ficus botryocarpa,Ficus,Moraceae,,
Ficus calopilina,Ficus,Moraceae,,
Ficus congesta,Ficus,Moraceae,,
Ficus conocephalifolia,Ficus,Moraceae,,
Ficus copiosa,Ficus,Moraceae,,
Ficus dammaropsis,Ficus,Moraceae,,
Ficus edelfeltii,Ficus,Moraceae,,
Ficus endospermifolia,Ficus,Moraceae,,
Ficus erythrosperma,Ficus,Moraceae,,
Ficus hahliana,Ficus,Moraceae,,
Ficus hispidioides,Ficus,Moraceae,,
Ficus hombroniana,Ficus,Moraceae,,
Ficus jimiensis,Ficus,Moraceae,remove,
Ficus melinocarpa,Ficus,Moraceae,,
Ficus mollior,Ficus,Moraceae,,
Ficus morobensis,Ficus,Moraceae,,
Ficus nodosa,Ficus,Moraceae,,
