full.name	working.name
Alphitonia incana (Roxb.) Kurz	alphitonia_incana
Alstonia brassii Monach.	alstonia_brassii
Alstonia scholaris (L.) R. Br.	alstonia_scholaris
Artocarpus camansi Blanco	artocarpus_camansi
Artocarpus lacucha Buch.-Ham.	artocarpus_lacucha
Bhesa robusta (Roxb.) Ding Hou	bhesa_robusta
Breynia cernua (Poir.) Mull.Arg.	breynia_cernua
Bridelia macrocarpa Airy Shaw	bridelia_macrocarpa
Caesalpinia crista L.	caeselpinia_christa
Callicarpa pentandra Roxb.	callicarpa_pentandra
Campnosperma brevipetiolata Volkens	campnosperma_brevipetiolata
Canarium acutifolium (DC.) Merr.	canarium_acutifolium
Carica papaya L.	carica_papaya
Chisocheton ceramicus Miq.	chisocheton_ceramicus
Chromolaena odorata (L.) R.M.King & H.Rob.	chromolaena_odorata
Cleistanthus myrianthus (Hassk.) Kurz	cleistanthus_myrianthus
Clerodendrum inerme (L.) Gaertn.	clerodendrum_inerme
Commersonia bartramia (L.) Merr.	commersonia_bartramia
Cordyline terminalis (L.) Kunth	cordyline_terminalis
Cryptocarya canaliculata van der Werff	cryptocarya_canaliculata
Cryptocarya multipaniculata Teschner	cryptocarya_multipaniculata
Cryptocarya novoguineensis Teschner	cryptocarya_novoguineensis
Cyathea contaminans (Wall. ex Hook.) Copel.	cyathea_contaminans
Cypholophus friesianus (K.Schum.) H.J.P.Winkl.	cypholophus_friesianus
Cypholophus lutescens (Blume) Wedd.	cypholophus_lutescens
Cypholophus macrocephalus (Blume) Wedd.	cypholophus_macrocephalus
Cyphomandra betacea (Cav.) Sendt.	cyphomandra_betacea
Cyrtandra erectiloba G.W.Gillett	cyrtandra_erectiloba
Debregeasia longifolia (Burm.f.) Wedd.	debregeasia_longifolia
Dendrocnide cordata (Warb. ex H.J.P.Winkl.) Chew	dendrocnide_cordata
Dendrocnide longifolia (Hemsl.) Chew	dendrocnide_longifolia
Desmodium tenax Schindl.	desmodium_tenax
Dichapetalum papuanum (Becc.) Boerl.	dichapetalum_papuanum
Dracontomelon lenticulatum Wilkinson	dracontomelon_lenticulatum
Dubouzetia novoguineensis A.C.Sm.	dubouzetia_novoguineensis
Dysoxylum archboldianum Merrill & Perry	dysoxylum_archboldianum
Elaeocarpus dolichostylus Schltr.	elaeocarpus_dolichostylus
Elaeocarpus murukkai Coode	elaeocarpus_murukkai
Elaeocarpus sphaerocarpus H.T.Chang	elaeocarpus_sphaerocarpus
Elatostema integrifolium (D.Don) Wedd.	elatostema_integrifolium
Embelia cotinoides (S.Moore) Merr.	embelia_cotinoides
Endiandra brassii C.K.Allen	endiandra_brassii
Endospermum labios Schodde	endospermum_labios
Etlingera labellosa (K.Schum.) R.M.Sm.	etlingera_labellosa
Eugenia javanica Lam.	eugenia_javanica
Falcataria moluccana (Miq.) Barneby & J.W.Grimes	falcataria_moluccana
Ficus adelpha K.Schum. & Lauterb.	ficus_adelpha
Ficus adenosperma Miq.	ficus_adenosperma
Ficus arfakensis King	ficus_arfakensis
Ficus aurantiacifolia Weiblen & Whitfeld	ficus_aurantiacifolia
Ficus badiopurpurea Diels	ficus_badiopurpurea
Ficus botryocarpa Miq.	ficus_botryocarpa
Ficus calopilina Diels	ficus_calopilina
Ficus congesta Roxb.	ficus_congesta
Ficus conocephalifolia Ridl.	ficus_conocephalifolia
Ficus copiosa Steud.	ficus_copiosa
Ficus dammaropsis Diels	ficus_dammaropsis
Ficus edelfeltii King	ficus_edelfeltii
Ficus endospermifolia Corner	ficus_endospermifolia
Ficus erythrosperma Miq.	ficus_erythrosperma
Ficus hahliana Diels	ficus_hahliana
Ficus hispidioides S.Moore	ficus_hispidioides
Ficus hombroniana Corner	ficus_hombroniana
Ficus jimiensis C.C.Berg	ficus_jimiensis
Ficus melinocarpa Blume	ficus_melinocarpa
Ficus mollior F.Muell. ex Benth.	ficus_mollior
Ficus morobensis C.C.Berg	ficus_morobensis
Ficus nodosa Teijsm. & Binn.	ficus_nodosa
Ficus pachyrrhachis K.Schum. & Lauterb.	ficus_pachyrrhachis
Ficus pungens Reinw. ex Blume	ficus_pungens
Ficus rubrivestimenta Weiblen & Whitfeld	ficus_rubrivestimenta
Ficus sangumae Weiblen & Whitfeld	ficus_sangumae
Ficus semivestita Corner	ficus_semivestita
Ficus septica Burm.f.	ficus_septica
Ficus subulata Blume	ficus_subulata
Ficus trachypison K.Schum. & Lauterb.	ficus_trachypison
Ficus trichocerasa Diels	ficus_trichocerasa
Ficus variegata Blume	ficus_variegata
Ficus wassa Roxb.	ficus_wassa
Ficus xylophylla (Miq.) Wall. ex Miq.	ficus_xylophylla
Garuga floribunda Decne.	garuga_floribunda
Gastonia spectabilis (Harms) Philipson	gastonia_spectabilis
Glochidion angulatum C.B.Rob.	glochidion_angulatum
Gnetum gnemon L.	gnetum_gnemon
Gnetum latifolium Blume	gnetum_latifolium
Grewia glabra Blume	grewia_glabra
Guioa comesperma Radlk.	guioa_comesperma
Haplolobus lanceolatus H.J.Lam	haplolobus_lanceolatus
Harpullia longipetala Leenh.	harpullia_longipetala
Hernandia ovigera L.	hernandia_ovigera
Hibiscus papuodendron Kosterm.	hibiscus_papuodendron
Homalanthus nervosus J.J.Sm.	homalanthus_nervosus
Homalanthus novoguineensis (Warb.) K.Schum.	homalanthus_novoguineensis
Horsfieldia spicata (Roxb.) J.Sinclair	horsfieldia_spicata
Leea indica (Burm.f.) Merr.	leea_indica
Lithocarpus celebicus (Miq.) Rehder	lithocarpus_celebicus
Litsea collina S. Moore	litsea_collina
Litsea globosa Kosterm.	litsea_globosa
Macaranga aleuritoides F.Muell.	macaranga_aleuritoides
Macaranga bicolor Muell.-Arg.	macaranga_bicolor
Macaranga bifoveata J.J.Sm.	macaranga_bifoveata
Macaranga fallacina Pax & K.Hoffm.	macaranga_fallacina
Macaranga pleiostemon Pax & K.Hoffm.	macaranga_pleiostemon
Macaranga punctata K.Schum.	macaranga_punctata
Macaranga quadriglandulosa Warb.	macaranga_quadriglandulosa
Macaranga schleinitziana K.Schum.	macaranga_schleinitziana
Macaranga strigosa Pax & K.Hoffm.	macaranga_strigosa
Macaranga tanarius (L.) Müll.Arg.	macaranga_tanarius
Maclura amboinensis Blume	maclura_amboinensis
Maesa haplobotrys F.Muell.	maesa_haplobotrys
Magnolia champaca (L.) Baill. ex Pierre	magnolia_champaca
Mallotus mollissimus (Geiseler) Airy Shaw	mallotus_mollissimus
Melanolepis multiglandulosa (Reinw. ex Blume) Rchb. & Zoll.	melanolepis_multiglandulosa
Melastoma polyanthum Burm. f.	melastoma_polyanthum
Melicope denhamii (Seem.) T.G.Hartley	melicope_denhamii
Meliosma pinnata (Roxb.) Maxim.	meliosma_pinnata
Merrilliodendron megacarpum (Hemsl.) Sleumer	merrilliodendron_megacarpum
Mischocarpus sundaicus Blume	mischocarpus_sundaicus
Mussaenda cylindrocarpa Burck	mussaenda_cylindrocarpa
Neonauclea obversifolia (Valeton) Merr. & L.M.Perry	neonauclea_obversifolia
Neoscortechinia forbesii (Hook.f.) S.Moore	neoscortechinia_forbesii
Nothocnide repanda (Blume) Blume	nothocnide_repanda
Oreocnide rubescens (Blume) Miq.	oreocnide_rubescens
Oreocnide trinervis (Wedd.) Miq.	oreocnide_trinervis
Pandorea pandorana (Andrews) Steenis	pandorea_pandorana
Pavetta platyclada K.Schum. & Lauterb.	pavetta_platyclada
Piper aduncum L.	piper_aduncum
Piper melula Trel.	piper_melula
Piper recessum R.O.Gardner	piper_recessum
Piper subulatum C. DC.	piper_subulatum
Piper umbellatum L.	piper_umbellatum
Pipturus argenteus Wedd.	pipturus_argenteus
Pisonia longifolia (Heimerl) Sarg.	pisonia_longifolia
Podocarpus neriifolius D. Don	podocarpus_neriifolius
Pometia pinnata J.R.Forst. & G.Forst.	pometia_pinnata
Premna obtusifolia R.Br.	premna_obtusifolia
Psidium guajava L.	psidium_guajava
Psychotria leptothyrsa Miq.	psychotria_leptothyrsa
Rhus taitensis Guill.	rhus_taitensis
Rubus moluccanus L.[	rubus_moluccanus
Ryparosa javanica (Blume) Kurz ex Koord. & Valeton	ryparosa_javanica
