"","site1","site2","counter","treatment","site","comp.id","comp","RC","fsite"
"1","wg1_c","wg2_c",8882,"c","w",2,"C vs I",0.776577657765777,"w"
"2","wg1_c","wg3_c",9755,"c","w",3,"C vs I",0.951195119511951,"w"
"3","wg1_c","wg4_c",9784,"c","w",4,"C vs I",0.956995699569957,"w"
"4","wg1_c","wg5_c",4544,"c","w",5,"C vs I",-0.0911091109110911,"w"
"5","wg1_c","wg6_c",6083,"c","w",6,"C vs I",0.216721672167217,"w"
"6","wg1_i","wg2_i",4361,"i","w",2,"C vs I",-0.127712771277128,"w"
"7","wg1_i","wg3_i",6882,"i","w",3,"C vs I",0.376537653765377,"w"
"8","wg1_i","wg4_i",6722,"i","w",4,"C vs I",0.344534453445345,"w"
"9","wg1_i","wg5_i",7543,"i","w",5,"C vs I",0.508750875087509,"w"
"10","wg1_i","wg6_i",5632,"i","w",6,"C vs I",0.126512651265126,"w"
"11","ng1_c","ng2_c",4355,"c","n",2,"C vs I",-0.128912891289129,"n"
"12","ng1_c","ng3_c",7876,"c","n",3,"C vs I",0.575357535753575,"n"
"13","ng1_c","ng4_c",1940,"c","n",4,"C vs I",-0.611961196119612,"n"
"14","ng1_c","ng5_c",3509,"c","n",5,"C vs I",-0.298129812981298,"n"
"15","ng1_c","ng6_c",2216,"c","n",6,"C vs I",-0.556755675567557,"n"
"16","ng1_c","ng7_c",4219,"c","n",7,"C vs I",-0.156115611561156,"n"
"17","ng1_c","ng8_c",2135,"c","n",8,"C vs I",-0.572957295729573,"n"
"18","ng1_c","ng9_c",264,"c","n",9,"C vs I",-0.947194719471947,"n"
"19","ng1_i","ng2_i",3947,"i","n",2,"C vs I",-0.210521052105211,"n"
"20","ng1_i","ng3_i",5501,"i","n",3,"C vs I",0.1003100310031,"n"
"21","ng1_i","ng4_i",1767,"i","n",4,"C vs I",-0.646564656465647,"n"
"22","ng1_i","ng5_i",2652,"i","n",5,"C vs I",-0.46954695469547,"n"
"23","ng1_i","ng6_i",5115,"i","n",6,"C vs I",0.023102310231023,"n"
