"","site1","site2","counter","treatment","site","comp.id","comp","RC","fsite"
"1","wg1_c","wg2_c",8844,"c","w",2,"C vs I",0.768976897689769,"w"
"2","wg1_c","wg3_c",9747,"c","w",3,"C vs I",0.94959495949595,"w"
"3","wg1_c","wg4_c",9813,"c","w",4,"C vs I",0.962796279627963,"w"
"4","wg1_c","wg5_c",4579,"c","w",5,"C vs I",-0.0841084108410841,"w"
"5","wg1_c","wg6_c",5949,"c","w",6,"C vs I",0.18991899189919,"w"
"6","wg1_i","wg2_i",4293,"i","w",2,"C vs I",-0.141314131413141,"w"
"7","wg1_i","wg3_i",6862,"i","w",3,"C vs I",0.372537253725373,"w"
"8","wg1_i","wg4_i",6773,"i","w",4,"C vs I",0.354735473547355,"w"
"9","wg1_i","wg5_i",7555,"i","w",5,"C vs I",0.511151115111511,"w"
"10","wg1_i","wg6_i",5498,"i","w",6,"C vs I",0.0997099709970997,"w"
"11","ng1_c","ng2_c",4309,"c","n",2,"C vs I",-0.138113811381138,"n"
"12","ng1_c","ng3_c",7896,"c","n",3,"C vs I",0.579357935793579,"n"
"13","ng1_c","ng4_c",1978,"c","n",4,"C vs I",-0.604360436043604,"n"
"14","ng1_c","ng5_c",3480,"c","n",5,"C vs I",-0.303930393039304,"n"
"15","ng1_c","ng6_c",2220,"c","n",6,"C vs I",-0.555955595559556,"n"
"16","ng1_c","ng7_c",4207,"c","n",7,"C vs I",-0.158515851585158,"n"
"17","ng1_c","ng8_c",1846,"c","n",8,"C vs I",-0.630763076307631,"n"
"18","ng1_c","ng9_c",53,"c","n",9,"C vs I",-0.989398939893989,"n"
"19","ng1_i","ng2_i",3840,"i","n",2,"C vs I",-0.231923192319232,"n"
"20","ng1_i","ng3_i",5429,"i","n",3,"C vs I",0.085908590859086,"n"
"21","ng1_i","ng4_i",1684,"i","n",4,"C vs I",-0.663166316631663,"n"
"22","ng1_i","ng5_i",2670,"i","n",5,"C vs I",-0.465946594659466,"n"
"23","ng1_i","ng6_i",4937,"i","n",6,"C vs I",-0.0125012501250125,"n"
"24","ng1_i","ng7_i",4551,"i","n",7,"C vs I",-0.0897089708970897,"n"
"25","ng1_i","ng8_i",7405,"i","n",8,"C vs I",0.481148114811481,"n"
"26","ng1_i","ng9_i",2705,"i","n",9,"C vs I",-0.458945894589459,"n"
"27","yg1_c","yg2_c",9245,"c","y",2,"C vs I",0.849184918491849,"y"
"28","yg1_c","yg3_c",9533,"c","y",3,"C vs I",0.906790679067907,"y"
"29","yg1_c","yg4_c",9647,"c","y",4,"C vs I",0.92959295929593,"y"
"30","yg1_c","yg5_c",9882,"c","y",5,"C vs I",0.976597659765977,"y"
"31","yg1_c","yg6_c",7001,"c","y",6,"C vs I",0.4003400340034,"y"
"32","yg1_c","yg7_c",8719,"c","y",7,"C vs I",0.743974397439744,"y"
"33","yg1_c","yg8_c",7824,"c","y",8,"C vs I",0.564956495649565,"y"
"34","yg1_c","yg9_c",9940,"c","y",9,"C vs I",0.988198819881988,"y"
"35","yg1_i","yg2_i",6674,"i","y",2,"C vs I",0.334933493349335,"y"
"36","yg1_i","yg3_i",5551,"i","y",3,"C vs I",0.11031103110311,"y"
