"","site1","site2","counter","treatment","site","comp.id","comp","RC","fsite"
"1","wg1_c","wg2_c",8902,"c","w",2,"C vs I",0.780578057805781,"w"
"2","wg1_c","wg3_c",9755,"c","w",3,"C vs I",0.951195119511951,"w"
"3","wg1_c","wg4_c",9831,"c","w",4,"C vs I",0.966396639663966,"w"
"4","wg1_c","wg5_c",4362,"c","w",5,"C vs I",-0.127512751275128,"w"
"5","wg1_c","wg6_c",5938,"c","w",6,"C vs I",0.187718771877188,"w"
"6","wg1_i","wg2_i",4269,"i","w",2,"C vs I",-0.146114611461146,"w"
"7","wg1_i","wg3_i",6874,"i","w",3,"C vs I",0.374937493749375,"w"
"8","wg1_i","wg4_i",6915,"i","w",4,"C vs I",0.383138313831383,"w"
"9","wg1_i","wg5_i",7486,"i","w",5,"C vs I",0.497349734973497,"w"
"10","wg1_i","wg6_i",5288,"i","w",6,"C vs I",0.0577057705770576,"w"
"11","ng1_c","ng2_c",3752,"c","n",2,"C vs I",-0.24952495249525,"n"
"12","ng1_c","ng3_c",7875,"c","n",3,"C vs I",0.575157515751575,"n"
"13","ng1_c","ng4_c",1271,"c","n",4,"C vs I",-0.745774577457746,"n"
"14","ng1_c","ng5_c",3127,"c","n",5,"C vs I",-0.374537453745375,"n"
"15","ng1_c","ng6_c",1848,"c","n",6,"C vs I",-0.63036303630363,"n"
"16","ng1_c","ng7_c",4082,"c","n",7,"C vs I",-0.183518351835184,"n"
"17","ng1_c","ng8_c",1,"c","n",8,"C vs I",-0.999799979998,"n"
"18","ng1_c","ng9_c",1,"c","n",9,"C vs I",-0.999799979998,"n"
"19","ng1_i","ng2_i",3787,"i","n",2,"C vs I",-0.242524252425243,"n"
"20","ng1_i","ng3_i",5442,"i","n",3,"C vs I",0.0885088508850884,"n"
"21","ng1_i","ng4_i",1466,"i","n",4,"C vs I",-0.706770677067707,"n"
"22","ng1_i","ng5_i",2484,"i","n",5,"C vs I",-0.503150315031503,"n"
"23","ng1_i","ng6_i",4863,"i","n",6,"C vs I",-0.0273027302730273,"n"
